id,model_name,dropout,size,batch_size_t,batch_size_v,n_targets,criterion,gradient_accumulation_steps,max_gradient_norm,optimizer,scheduler,LR,T_0,T_max,T_mult,min_lr,max_lr,no_batches,warmup_epochs,cosine_epochs,epochs,update_per_batch,num_workers,n_folds,train_transforms,valid_transforms,observations,use_swa,swa_lr,swa_epoch,use_sam,use_asam,asam_rho,print_freq,one_fold,use_apex,distributed_training,save_to_log,oof-accuracy,oof-precision,oof-recall,cross-validation,public-leaderboard
22,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,1e-05,500,10,5,1e-06,0.0001,2480,1,14,15,True,4,5,"[HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)]",[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3288387096774193,0.6380081914668017,0.3288387096774193,[0.7409677419354839],0
23,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,3e-05,500,10,5,1e-06,0.0001,2480,1,14,15,True,4,5,"[HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)]",[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3278064516129032,0.6245928782753094,0.3278064516129032,[0.7358064516129033],0
24,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,5e-05,500,10,5,1e-06,0.0001,2480,1,14,15,True,4,5,"[HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)]",[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3303225806451613,0.6373299580105054,0.3303225806451613,[0.7483870967741936],0
25,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,7e-05,500,10,5,1e-06,0.0001,2480,1,14,15,True,4,5,"[HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)]",[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3301935483870967,0.6406681185881896,0.3301935483870967,[0.747741935483871],0
26,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,0.0001,500,10,5,1e-06,0.0001,2480,1,14,15,True,4,5,"[HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)]",[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.2258064516129032,0.0509885535900104,0.2258064516129032,[0.22580645161290322],0
27,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,0.0003,500,10,5,1e-06,0.0001,2480,1,14,15,True,4,5,"[HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)]",[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.2258064516129032,0.0509885535900104,0.2258064516129032,[0.22580645161290322],0
28,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,OneCycleLR,7e-06,200,10,2,1e-06,3.5e-05,2480,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3246451612903225,0.600699118690151,0.3246451612903225,[0.72],0
29,swin_large_patch4_window12_384_in22k,0.5,384,5,24,5,CrossEntropyLoss,1,,AdamW,OneCycleLR,1e-05,200,10,2,1e-06,5e-05,2480,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3249677419354839,0.6063250161571517,0.3249677419354839,[0.7216129032258064],0
30,swin_large_patch4_window12_384_in22k,0.5,384,5,8,5,CrossEntropyLoss,1,,AdamW,OneCycleLR,3e-05,200,10,2,1e-06,0.00015,2480,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3314193548387096,0.6386892758114737,0.3314193548387096,[0.7538709677419355],0
31,swin_large_patch4_window12_384_in22k,0.5,384,5,8,5,CrossEntropyLoss,1,,AdamW,OneCycleLR,5e-05,200,10,2,1e-06,0.00025,2480,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.2921290322580645,0.5017108580461027,0.2921290322580645,[0.5574193548387096],0
